date,close,adjusted_close
2024-01-01,100,100
2024-01-02,102.000000,102.000000
2024-01-03,100.980000,100.980000
2024-01-04,104.009400,104.009400
2024-01-05,101.409165,101.409165
2024-01-08,101.916211,101.916211
2024-01-09,100.387468,100.387468
2024-01-10,102.395217,102.395217
2024-01-11,101.371265,101.371265
2024-01-12,104.412403,104.412403
2024-01-15,101.802093,101.802093
2024-01-16,102.311103,102.311103
2024-01-17,100.776436,100.776436
2024-01-18,102.791965,102.791965
2024-01-19,101.764045,101.764045
2024-01-22,104.816966,104.816966
2024-01-23,102.196542,102.196542
2024-01-24,102.707525,102.707525
2024-01-25,101.166912,101.166912
2024-01-26,103.190250,103.190250
2024-01-29,102.158348,102.158348
2024-01-30,105.223098,105.223098
2024-01-31,102.592521,102.592521
2024-02-01,103.105484,103.105484
2024-02-02,101.558902,101.558902
2024-02-05,103.590080,103.590080
2024-02-06,102.554179,102.554179
2024-02-07,105.630804,105.630804
2024-02-08,102.990034,102.990034
2024-02-09,103.504984,103.504984
2024-02-12,101.952409,101.952409
2024-02-13,103.991457,103.991457
2024-02-14,102.951542,102.951542
2024-02-15,106.040088,106.040088
2024-02-16,103.389086,103.389086
2024-02-19,103.906031,103.906031
2024-02-20,102.347441,102.347441
2024-02-21,104.394390,104.394390
2024-02-22,103.350446,103.350446
2024-02-23,106.450959,106.450959
2024-02-26,103.789685,103.789685
2024-02-27,104.308633,104.308633
2024-02-28,102.744004,102.744004
2024-02-29,104.798884,104.798884
2024-03-01,103.750895,103.750895
2024-03-04,106.863422,106.863422
2024-03-05,104.191836,104.191836
2024-03-06,104.712795,104.712795
2024-03-07,103.142103,103.142103
2024-03-08,105.204945,105.204945
2024-03-11,104.152896,104.152896
2024-03-12,107.277483,107.277483
2024-03-13,104.595546,104.595546
2024-03-14,105.118524,105.118524
2024-03-15,103.541746,103.541746
2024-03-18,105.612581,105.612581
2024-03-19,104.556455,104.556455
2024-03-20,107.693149,107.693149
2024-03-21,105.000820,105.000820
2024-03-22,105.525824,105.525824
