date,close,adjusted_close
2024-01-01,200,200
2024-01-02,200.800000,200.800000
2024-01-03,202.004800,202.004800
2024-01-04,201.600790,201.600790
2024-01-05,203.213596,203.213596
2024-01-08,200.775033,200.775033
2024-01-09,201.176583,201.176583
2024-01-10,201.981289,201.981289
2024-01-11,203.193177,203.193177
2024-01-12,202.786791,202.786791
2024-01-15,204.409085,204.409085
2024-01-16,201.956176,201.956176
2024-01-17,202.360088,202.360088
2024-01-18,203.169528,203.169528
2024-01-19,204.388545,204.388545
2024-01-22,203.979768,203.979768
2024-01-23,205.611606,205.611606
2024-01-24,203.144267,203.144267
2024-01-25,203.550556,203.550556
2024-01-26,204.364758,204.364758
2024-01-29,205.590947,205.590947
2024-01-30,205.179765,205.179765
2024-01-31,206.821203,206.821203
2024-02-01,204.339349,204.339349
2024-02-02,204.748028,204.748028
2024-02-05,205.567020,205.567020
2024-02-06,206.800422,206.800422
2024-02-07,206.386821,206.386821
2024-02-08,208.037916,208.037916
2024-02-09,205.541461,205.541461
2024-02-12,205.952544,205.952544
2024-02-13,206.776354,206.776354
2024-02-14,208.017012,208.017012
2024-02-15,207.600978,207.600978
2024-02-16,209.261786,209.261786
2024-02-19,206.750645,206.750645
2024-02-20,207.164146,207.164146
2024-02-21,207.992803,207.992803
2024-02-22,209.240760,209.240760
2024-02-23,208.822278,208.822278
2024-02-26,210.492856,210.492856
2024-02-27,207.966942,207.966942
2024-02-28,208.382876,208.382876
2024-02-29,209.216408,209.216408
2024-03-01,210.471706,210.471706
2024-03-04,210.050763,210.050763
2024-03-05,211.731169,211.731169
2024-03-06,209.190395,209.190395
2024-03-07,209.608776,209.608776
2024-03-08,210.447211,210.447211
2024-03-11,211.709894,211.709894
2024-03-12,211.286474,211.286474
2024-03-13,212.976766,212.976766
2024-03-14,210.421045,210.421045
2024-03-15,210.841887,210.841887
2024-03-18,211.685255,211.685255
2024-03-19,212.955367,212.955367
2024-03-20,212.529456,212.529456
2024-03-21,214.229692,214.229692
2024-03-22,211.658936,211.658936
