date,open,high,low,close,adjusted_close,volume
2007-01-01,142.000000,142.189228,140.498095,140.685571,140.685571,10703121
2007-01-02,140.685571,144.209007,140.209866,143.723031,143.723031,6303963
2007-01-03,143.723031,143.895928,141.795042,141.965825,141.965825,13689492
2007-01-04,141.965825,144.282336,141.593177,143.904599,143.904599,5872138
2007-01-05,143.904599,144.166803,139.549136,139.803868,139.803868,3128890
2007-01-08,139.803868,139.925187,138.615564,138.735956,138.735956,5775111
2007-01-09,138.735956,138.759875,137.427285,137.450983,137.450983,4425261
2007-01-10,137.450983,138.160264,135.924465,136.629507,136.629507,7590242
2007-01-11,136.629507,138.265840,135.645093,137.276762,137.276762,6688282
2007-01-12,137.276762,137.486115,135.394807,135.601606,135.601606,3031674
2007-01-15,135.601606,136.291671,133.650923,134.334540,134.334540,4845127
2007-01-16,134.334540,135.683625,134.196666,135.544510,135.544510,7828940
2007-01-17,135.544510,135.730246,135.271605,135.457222,135.457222,11049140
2007-01-18,135.457222,136.756380,135.426269,136.725137,136.725137,3528652
2007-01-19,136.725137,137.522823,136.164011,136.960730,136.960730,12681930
2007-01-22,136.960730,137.952546,135.442218,136.430191,136.430191,5960598
2007-01-23,136.430191,136.788015,136.018125,136.375807,136.375807,7899387
2007-01-24,136.375807,138.043395,136.108249,137.773096,137.773096,5459859
2007-01-25,137.773096,139.214701,137.292993,138.731259,138.731259,6648102
2007-01-26,138.731259,139.328853,138.617262,139.214459,139.214459,2542794
2007-01-29,139.214459,140.050039,138.763455,139.597793,139.597793,3035232
2007-01-30,139.597793,139.703703,138.373551,138.478611,138.478611,6722066
2007-01-31,138.478611,139.238223,137.889067,138.647958,138.647958,10739732
2007-02-01,138.647958,140.941008,137.723146,140.007131,140.007131,3066956
2007-02-02,140.007131,142.680703,139.276827,141.940316,141.940316,5129022
2007-02-05,141.940316,142.440728,141.632875,142.132870,142.132870,5316444
2007-02-06,142.132870,143.855726,141.921441,143.642053,143.642053,6903228
2007-02-07,143.642053,144.435016,142.068922,142.857555,142.857555,6911274
2007-02-08,142.857555,143.490115,142.748701,143.380863,143.380863,4777981
2007-02-09,143.380863,144.517859,142.735277,143.870070,143.870070,7184605
2007-02-12,143.870070,144.964850,143.568385,144.661505,144.661505,6898760
