date,open,high,low,close,adjusted_close,volume
2007-01-01,88.000000,88.087009,87.816179,87.903092,87.903092,3928948
2007-01-02,87.903092,88.212587,87.312802,87.621305,87.621305,8301935
2007-01-03,87.621305,89.086778,86.675510,88.135433,88.135433,7001618
2007-01-04,88.135433,88.606909,87.903005,88.373852,88.373852,9470551
2007-01-05,88.373852,89.401227,88.221640,89.247511,89.247511,4846543
2007-01-08,89.247511,89.616374,89.075597,89.444081,89.444081,8275841
2007-01-09,89.444081,89.637324,89.435416,89.628641,89.628641,3912662
2007-01-10,89.628641,90.200936,89.178348,89.750033,89.750033,5377291
2007-01-11,89.750033,90.176806,89.636802,90.063180,90.063180,5418434
2007-01-12,90.063180,90.133811,88.910194,88.979976,88.979976,6146383
2007-01-15,88.979976,92.954300,88.366504,92.317815,92.317815,4850230
2007-01-16,92.317815,92.644219,89.851738,90.170550,90.170550,4776043
2007-01-17,90.170550,90.451138,89.858530,90.139020,90.139020,4786884
2007-01-18,90.139020,90.480688,89.956219,90.297565,90.297565,5490535
2007-01-19,90.297565,91.597828,89.572263,90.867945,90.867945,9376010
2007-01-22,90.867945,90.973059,90.273996,90.378544,90.378544,5226742
2007-01-23,90.378544,90.517703,88.596717,88.733342,88.733342,4301731
2007-01-24,88.733342,88.823183,87.549042,87.637773,87.637773,7883201
2007-01-25,87.637773,87.908781,87.574297,87.845155,87.845155,5593097
2007-01-26,87.845155,88.509721,87.656493,88.320039,88.320039,7494037
2007-01-29,88.320039,89.900304,87.814490,89.388638,89.388638,6012139
2007-01-30,89.388638,89.895974,88.713350,89.219726,89.219726,4739148
2007-01-31,89.219726,89.636600,88.544881,88.960544,88.960544,6494969
2007-02-01,88.960544,89.459045,88.198773,88.695791,88.695791,9196333
2007-02-02,88.695791,88.884832,88.544079,88.733057,88.733057,5666138
2007-02-05,88.733057,88.973306,88.084300,88.323440,88.323440,4760741
2007-02-06,88.323440,88.477928,86.917612,87.069906,87.069906,9689266
